Participant	Recording	Case	Stimul	Timestamp	Fixation_X	Fixation_Y	File	Right_eye_normalized	Left_eye_normalized	Rage-Net_X	Rage-Net_Y
P2	Recording5	case_2	Bottom right	265241738	1692.0	950.0	29.jpg	29_right_eye.jpg	29_left_eye.jpg	1721.1794	1006.29755
P2	Recording5	case_2	Middle right	266834811	1723.0	560.0	30.jpg	30_right_eye.jpg	30_left_eye.jpg	1593.2638	655.6035
P2	Recording5	case_2	Top right	268355620			31.jpg	31_right_eye.jpg	31_left_eye.jpg	978.9712	330.0623
P2	Recording5	case_2	Bottom left	269464278	160.0	979.0	32.jpg	32_right_eye.jpg	32_left_eye.jpg	175.95131	966.2695
P2	Recording5	case_2	Top center	270915657	955.0	101.0	33.jpg	33_right_eye.jpg	33_left_eye.jpg	955.53705	124.17615
P2	Recording5	case_2	Middle left	272157172	1048.0	244.0	34.jpg	34_right_eye.jpg	34_left_eye.jpg	998.3582	329.61966
P2	Recording5	case_2	Middle center	273440388	950.0	578.0	35.jpg	35_right_eye.jpg	35_left_eye.jpg	929.4644	701.4624
P2	Recording5	case_2	Top center	274650089	952.0	109.0	36.jpg	36_right_eye.jpg	36_left_eye.jpg	952.35425	205.29616
P2	Recording5	case_2	Middle center	275929854	943.0	569.0	37.jpg	37_right_eye.jpg	37_left_eye.jpg	946.4183	643.4448
P2	Recording5	case_2	Middle left	277179787	143.0	551.0	38.jpg	38_right_eye.jpg	38_left_eye.jpg	118.445076	693.3805
P2	Recording5	case_2	Top left	278092961	180.0	107.0	39.jpg	39_right_eye.jpg	39_left_eye.jpg	150.5709	184.88838
P2	Recording5	case_2	Bottom center	279249345	956.0	995.0	40.jpg	40_right_eye.jpg	40_left_eye.jpg	749.9525	1006.7405
P2	Recording5	case_2	Middle right	280545896	1115.0	429.0	41.jpg	41_right_eye.jpg	41_left_eye.jpg	995.51135	495.48657
P2	Recording5	case_2	Top right	281819849	855.0	194.0	42.jpg	42_right_eye.jpg	42_left_eye.jpg	949.5003	198.3634
P2	Recording5	case_2	Bottom left	282658878	165.0	969.0	43.jpg	43_right_eye.jpg	43_left_eye.jpg	174.18867	934.7588
P2	Recording5	case_2	Bottom right	283792023	1697.0	954.0	44.jpg	44_right_eye.jpg	44_left_eye.jpg	1629.3972	1037.2803
P2	Recording5	case_2	Top right	285225112	1751.0	126.0	45.jpg	45_right_eye.jpg	45_left_eye.jpg	1767.9974	152.20447
P2	Recording5	case_2	Bottom right	286664884	1698.0	955.0	46.jpg	46_right_eye.jpg	46_left_eye.jpg	1704.594	1021.8415
P2	Recording5	case_2	Top center	287698047	943.0	128.0	47.jpg	47_right_eye.jpg	47_left_eye.jpg	949.60504	121.92135
P2	Recording5	case_2	Middle center	288754558	950.0	593.0	48.jpg	48_right_eye.jpg	48_left_eye.jpg	922.14514	708.8481
P2	Recording5	case_2	Middle right	289891038	1720.0	533.0	49.jpg	49_right_eye.jpg	49_left_eye.jpg	1634.3579	617.89825
P2	Recording5	case_2	Bottom center	291354022	724.0	787.0	50.jpg	50_right_eye.jpg	50_left_eye.jpg	623.96533	876.6041
P2	Recording5	case_2	Top left	292651732	139.0	140.0	51.jpg	51_right_eye.jpg	51_left_eye.jpg	992.7117	228.1484
P2	Recording5	case_2	Bottom left	294793475	157.0	985.0	52.jpg	52_right_eye.jpg	52_left_eye.jpg	113.85927	977.0495
P2	Recording5	case_2	Middle left	295953265	146.0	577.0	53.jpg	53_right_eye.jpg	53_left_eye.jpg	67.959885	680.14136
P2	Recording5	case_3	Middle right	330634309	1730.0	596.0	54.jpg	54_right_eye.jpg	54_left_eye.jpg	1548.4816	60.46316
P2	Recording5	case_3	Bottom center	331920794	942.0	968.0	55.jpg	55_right_eye.jpg	55_left_eye.jpg	740.21643	27.520334
P2	Recording5	case_3	Middle center	333177337	963.0	580.0	56.jpg	56_right_eye.jpg	56_left_eye.jpg	718.821	27.702236
P2	Recording5	case_3	Top right	334240397	1723.0	183.0	57.jpg	57_right_eye.jpg	57_left_eye.jpg	1535.2275	92.23617
P2	Recording5	case_3	Top left	335250334	158.0	189.0	58.jpg	58_right_eye.jpg	58_left_eye.jpg	231.62708	116.60748
P2	Recording5	case_3	Top center	336306744	952.0	160.0	59.jpg	59_right_eye.jpg	59_left_eye.jpg	766.74	42.41586
P2	Recording5	case_3	Bottom right	337427611	994.0	326.0	60.jpg	60_right_eye.jpg	60_left_eye.jpg	791.64856	73.86873
P2	Recording5	case_3	Middle left	338313064	143.0	583.0	61.jpg	61_right_eye.jpg	61_left_eye.jpg	227.63573	56.04111
P2	Recording5	case_3	Bottom left	339352862	144.0	981.0	62.jpg	62_right_eye.jpg	62_left_eye.jpg	135.49367	78.67897
P2	Recording5	case_3	Middle left	340376180	150.0	585.0	63.jpg	63_right_eye.jpg	63_left_eye.jpg	220.84113	71.266396
P2	Recording5	case_3	Top right	341425887	1747.0	197.0	64.jpg	64_right_eye.jpg	64_left_eye.jpg	1449.4803	80.07408
P2	Recording5	case_3	Bottom left	342689119	143.0	975.0	65.jpg	65_right_eye.jpg	65_left_eye.jpg	130.41435	72.2767
P2	Recording5	case_3	Middle right	343672177	1711.0	588.0	66.jpg	66_right_eye.jpg	66_left_eye.jpg	1533.9569	62.954327
P2	Recording5	case_3	Middle center	344682129	945.0	601.0	67.jpg	67_right_eye.jpg	67_left_eye.jpg	690.7569	26.516497
P2	Recording5	case_3	Bottom right	345791839	1709.0	997.0	68.jpg	68_right_eye.jpg	68_left_eye.jpg	1762.717	60.119125
P2	Recording5	case_3	Top left	346721791	172.0	164.0	69.jpg	69_right_eye.jpg	69_left_eye.jpg	311.90253	91.4634
P2	Recording5	case_3	Bottom center	347761626	951.0	986.0	70.jpg	70_right_eye.jpg	70_left_eye.jpg	883.5878	46.88628
P2	Recording5	case_3	Top center	348721460	946.0	160.0	71.jpg	71_right_eye.jpg	71_left_eye.jpg	768.8064	61.331135
P2	Recording5	case_3	Top center	350451175	947.0	161.0	72.jpg	72_right_eye.jpg	72_left_eye.jpg	753.9734	43.696835
P2	Recording5	case_3	Bottom left	351744195	148.0	974.0	73.jpg	73_right_eye.jpg	73_left_eye.jpg	90.7571	64.187675
P2	Recording5	case_3	Top left	353067423	154.0	165.0	74.jpg	74_right_eye.jpg	74_left_eye.jpg	253.3547	37.44447
P2	Recording5	case_3	Top right	354307204	1741.0	193.0	75.jpg	75_right_eye.jpg	75_left_eye.jpg	1500.2236	65.36292
P2	Recording5	case_3	Middle right	355626995	1718.0	591.0	76.jpg	76_right_eye.jpg	76_left_eye.jpg	1578.8248	81.68495
P2	Recording5	case_3	Bottom right	356833466	1703.0	980.0	77.jpg	77_right_eye.jpg	77_left_eye.jpg	1682.5358	74.07456
P2	Recording5	case_3	Middle center	358089926	943.0	579.0	78.jpg	78_right_eye.jpg	78_left_eye.jpg	680.82776	46.586216
P2	Recording5	case_3	Bottom center	359072973	942.0	983.0	79.jpg	79_right_eye.jpg	79_left_eye.jpg	858.4295	37.922943
P2	Recording5	case_3	Middle left	360049595	137.0	579.0	80.jpg	80_right_eye.jpg	80_left_eye.jpg	276.1857	45.499207
P2	Recording5	case_4	Middle center	391937645	940.0	570.0	81.jpg	81_right_eye.jpg	81_left_eye.jpg	1674.2478	115.33831
P2	Recording5	case_4	Middle right	393657296	1708.0	589.0	82.jpg	82_right_eye.jpg	82_left_eye.jpg	1781.8436	127.09153
P2	Recording5	case_4	Bottom center	394897087	938.0	984.0	83.jpg	83_right_eye.jpg	83_left_eye.jpg	1790.966	321.70648
P2	Recording5	case_4	Bottom left	396393608	143.0	967.0	84.jpg	84_right_eye.jpg	84_left_eye.jpg	1232.678	311.27036
P2	Recording5	case_4	Top left	398291668	223.0	171.0	85.jpg	85_right_eye.jpg	85_left_eye.jpg	1191.949	25.04416
P2	Recording5	case_4	Top center	399466447	935.0	161.0	86.jpg	86_right_eye.jpg	86_left_eye.jpg	1610.6917	52.715668
P2	Recording5	case_4	Top right	400442858	1733.0	185.0	87.jpg	87_right_eye.jpg	87_left_eye.jpg	1852.6404	44.707783
P2	Recording5	case_4	Bottom right	401889273	1713.0	983.0	88.jpg	88_right_eye.jpg	88_left_eye.jpg	1822.8423	224.6804
P2	Recording5	case_4	Middle left	403139172	143.0	579.0	89.jpg	89_right_eye.jpg	89_left_eye.jpg	980.8994	78.69378
P2	Recording5	case_4	Middle center	404265672	951.0	578.0	90.jpg	90_right_eye.jpg	90_left_eye.jpg	1681.8406	90.8708
P2	Recording5	case_4	Top left	405505462	157.0	163.0	91.jpg	91_right_eye.jpg	91_left_eye.jpg	1106.721	22.923983
P2	Recording5	case_4	Middle left	406721944	156.0	595.0	92.jpg	92_right_eye.jpg	92_left_eye.jpg	1125.5228	109.85475
P2	Recording5	case_4	Middle right	407898416	1710.0	600.0	93.jpg	93_right_eye.jpg	93_left_eye.jpg	1815.0627	63.740467
P2	Recording5	case_4	Bottom left	409161553	914.0	485.0	94.jpg	94_right_eye.jpg	94_left_eye.jpg	1679.0729	65.98634
P2	Recording5	case_4	Top center	410617971	935.0	164.0	95.jpg	95_right_eye.jpg	95_left_eye.jpg	1643.5349	46.399628
P2	Recording5	case_4	Bottom right	411891101	1710.0	978.0	96.jpg	96_right_eye.jpg	96_left_eye.jpg	1791.6979	281.1558
P2	Recording5	case_4	Bottom center	413137564	935.0	991.0	97.jpg	97_right_eye.jpg	97_left_eye.jpg	1690.1616	301.5999
P2	Recording5	case_4	Top right	414344035	1737.0	198.0	98.jpg	98_right_eye.jpg	98_left_eye.jpg	1823.4531	27.549488
P2	Recording5	case_4	Bottom right	415777132	1703.0	982.0	99.jpg	99_right_eye.jpg	99_left_eye.jpg	1773.4775	176.18224
P2	Recording5	case_4	Middle left	417080158	159.0	584.0	100.jpg	100_right_eye.jpg	100_left_eye.jpg	955.47253	81.53899
P2	Recording5	case_4	Top right	418433280	1729.0	196.0	101.jpg	101_right_eye.jpg	101_left_eye.jpg	1838.6802	35.837826
P2	Recording5	case_4	Bottom left	419793037	149.0	989.0	102.jpg	102_right_eye.jpg	102_left_eye.jpg	1320.2166	406.9105
P2	Recording5	case_4	Top center	421122939	936.0	175.0	103.jpg	103_right_eye.jpg	103_left_eye.jpg	1685.3157	48.070324
P2	Recording5	case_4	Middle center	422552609	935.0	588.0	104.jpg	104_right_eye.jpg	104_left_eye.jpg	1622.407	103.57798
P2	Recording5	case_4	Bottom center	423752392	940.0	961.0	105.jpg	105_right_eye.jpg	105_left_eye.jpg	1677.489	277.48187
P2	Recording5	case_4	Middle right	424738913	1707.0	601.0	106.jpg	106_right_eye.jpg	106_left_eye.jpg	1840.7708	74.16334
P2	Recording5	case_4	Top left	426538614	158.0	157.0	107.jpg	107_right_eye.jpg	107_left_eye.jpg	1138.4354	19.641245
P2	Recording5	case_5	Middle center	458016827	932.0	572.0	108.jpg	108_right_eye.jpg	108_left_eye.jpg	904.64197	630.7534
P2	Recording5	case_5	Top center	459440036	932.0	166.0	109.jpg	109_right_eye.jpg	109_left_eye.jpg	838.5353	132.68507
P2	Recording5	case_5	Bottom left	460719817	144.0	987.0	110.jpg	110_right_eye.jpg	110_left_eye.jpg	225.6883	1045.4805
P2	Recording5	case_5	Top left	462216110	146.0	162.0	111.jpg	111_right_eye.jpg	111_left_eye.jpg	230.68843	238.71652
P2	Recording5	case_5	Middle left	463546013	141.0	584.0	112.jpg	112_right_eye.jpg	112_left_eye.jpg	284.7385	702.73157
P2	Recording5	case_5	Top right	464745813	1722.0	184.0	113.jpg	113_right_eye.jpg	113_left_eye.jpg	1834.2733	247.50562
P2	Recording5	case_5	Middle right	465832306	1717.0	590.0	114.jpg	114_right_eye.jpg	114_left_eye.jpg	1777.4185	668.3202
P2	Recording5	case_5	Bottom center	466938791	929.0	987.0	115.jpg	115_right_eye.jpg	115_left_eye.jpg	645.62964	957.6862
P2	Recording5	case_5	Bottom right	468128593	1689.0	966.0	116.jpg	116_right_eye.jpg	116_left_eye.jpg	1760.9877	1035.5806
P2	Recording5	case_5	Bottom left	469248396	127.0	965.0	117.jpg	117_right_eye.jpg	117_left_eye.jpg	111.529015	995.7031
P2	Recording5	case_5	Middle left	470314899	123.0	555.0	118.jpg	118_right_eye.jpg	118_left_eye.jpg	628.4012	742.4427
P2	Recording5	case_5	Bottom right	471674559	1699.0	967.0	119.jpg	119_right_eye.jpg	119_left_eye.jpg	1811.0635	1034.765
P2	Recording5	case_5	Top left	472777823	131.0	148.0	120.jpg	120_right_eye.jpg	120_left_eye.jpg	186.58662	248.20352
P2	Recording5	case_5	Top center	473994181	918.0	147.0	121.jpg	121_right_eye.jpg	121_left_eye.jpg	874.3877	140.78766
P2	Recording5	case_5	Middle center	475224099	936.0	587.0	122.jpg	122_right_eye.jpg	122_left_eye.jpg	1010.11365	701.49274
P2	Recording5	case_5	Top right	476353787	1728.0	168.0	123.jpg	123_right_eye.jpg	123_left_eye.jpg	1845.2213	171.69211
P2	Recording5	case_5	Bottom center	477520381	921.0	982.0	124.jpg	124_right_eye.jpg	124_left_eye.jpg	757.3319	935.16156
P2	Recording5	case_5	Middle right	478890027	1707.0	592.0	125.jpg	125_right_eye.jpg	125_left_eye.jpg	1742.8744	715.0263
P2	Recording5	case_5	Middle left	479999977	145.0	584.0	126.jpg	126_right_eye.jpg	126_left_eye.jpg	167.08186	675.8084
P2	Recording5	case_5	Bottom center	481089701	933.0	982.0	127.jpg	127_right_eye.jpg	127_left_eye.jpg	718.63544	964.58685
P2	Recording5	case_5	Top right	482296137	1725.0	187.0	128.jpg	128_right_eye.jpg	128_left_eye.jpg	1861.0747	145.7189
P2	Recording5	case_5	Bottom right	483489310	1704.0	979.0	129.jpg	129_right_eye.jpg	129_left_eye.jpg	1675.8368	1045.6451
P2	Recording5	case_5	Middle right	484649114	1688.0	581.0	130.jpg	130_right_eye.jpg	130_left_eye.jpg	1731.8478	753.5651
P2	Recording5	case_5	Top center	485849001	935.0	146.0	131.jpg	131_right_eye.jpg	131_left_eye.jpg	1029.6578	129.63203
P2	Recording5	case_5	Bottom left	486978725	143.0	991.0	132.jpg	132_right_eye.jpg	132_left_eye.jpg	59.648773	991.6421
P2	Recording5	case_5	Middle center	488058562	935.0	585.0	133.jpg	133_right_eye.jpg	133_left_eye.jpg	907.2235	734.46796
P2	Recording5	case_5	Top left	489288456	146.0	164.0	134.jpg	134_right_eye.jpg	134_left_eye.jpg	333.1769	290.74933
P2	Recording5	case_6	Bottom center	503329504	937.0	1013.0	135.jpg	135_right_eye.jpg	135_left_eye.jpg	770.5999	1060.6842
P2	Recording5	case_6	Bottom left	505002565	149.0	989.0	136.jpg	136_right_eye.jpg	136_left_eye.jpg	92.98679	1048.0884
P2	Recording5	case_6	Top right	506259025	1720.0	203.0	137.jpg	137_right_eye.jpg	137_left_eye.jpg	1900.5134	173.96155
P2	Recording5	case_6	Top center	507738684	925.0	173.0	138.jpg	138_right_eye.jpg	138_left_eye.jpg	1006.17316	413.83783
P2	Recording5	case_6	Middle right	508985138	1717.0	598.0	139.jpg	139_right_eye.jpg	139_left_eye.jpg	1878.4259	862.98975
P2	Recording5	case_6	Middle left	510658186	162.0	595.0	140.jpg	140_right_eye.jpg	140_left_eye.jpg	89.83307	945.22595
P2	Recording5	case_6	Middle center	511977991	932.0	593.0	141.jpg	141_right_eye.jpg	141_left_eye.jpg	680.0208	855.8541
P2	Recording5	case_6	Bottom right	513041256	1700.0	988.0	142.jpg	142_right_eye.jpg	142_left_eye.jpg	1847.4719	1060.5911
P2	Recording5	case_6	Top left	514474361	151.0	173.0	143.jpg	143_right_eye.jpg	143_left_eye.jpg	95.76815	290.77853
P2	Recording5	case_6	Middle left	515664053	154.0	608.0	144.jpg	144_right_eye.jpg	144_left_eye.jpg	78.60291	729.0958
P2	Recording5	case_6	Middle right	516987293	1710.0	593.0	145.jpg	145_right_eye.jpg	145_left_eye.jpg	1886.1814	891.8253
P2	Recording5	case_6	Bottom right	518190424	968.0	561.0	146.jpg	146_right_eye.jpg	146_left_eye.jpg	741.5748	894.3436
P2	Recording5	case_6	Top center	519360225	929.0	179.0	147.jpg	147_right_eye.jpg	147_left_eye.jpg	951.4115	306.46188
P2	Recording5	case_6	Top left	520683350	159.0	177.0	148.jpg	148_right_eye.jpg	148_left_eye.jpg	139.8532	300.8547
P2	Recording5	case_6	Bottom center	521929809	941.0	1000.0	149.jpg	149_right_eye.jpg	149_left_eye.jpg	768.8926	1069.6555
P2	Recording5	case_6	Middle center	523329568	932.0	589.0	150.jpg	150_right_eye.jpg	150_left_eye.jpg	886.91864	867.40045
P2	Recording5	case_6	Bottom left	524546045	166.0	983.0	151.jpg	151_right_eye.jpg	151_left_eye.jpg	69.46093	1031.2947
P2	Recording5	case_6	Top right	525592538	1731.0	202.0	152.jpg	152_right_eye.jpg	152_left_eye.jpg	1898.3932	220.30069
P2	Recording5	case_6	Bottom right	526672367	1699.0	974.0	153.jpg	153_right_eye.jpg	153_left_eye.jpg	1853.0612	1067.0433
P2	Recording5	case_6	Middle right	527905492	1712.0	590.0	154.jpg	154_right_eye.jpg	154_left_eye.jpg	1878.422	823.03784
P2	Recording5	case_6	Top center	529121855	935.0	172.0	155.jpg	155_right_eye.jpg	155_left_eye.jpg	874.2862	326.76102
P2	Recording5	case_6	Middle left	530208344	161.0	593.0	156.jpg	156_right_eye.jpg	156_left_eye.jpg	118.556145	727.8002
P2	Recording5	case_6	Top left	531274808	147.0	174.0	157.jpg	157_right_eye.jpg	157_left_eye.jpg	185.9631	290.19852
P2	Recording5	case_6	Bottom center	532378098	948.0	993.0	158.jpg	158_right_eye.jpg	158_left_eye.jpg	894.3141	1072.4122
P2	Recording5	case_6	Top right	533714417	1720.0	194.0	159.jpg	159_right_eye.jpg	159_left_eye.jpg	1902.463	214.08168
P2	Recording5	case_6	Middle center	534834236	933.0	593.0	160.jpg	160_right_eye.jpg	160_left_eye.jpg	806.4178	765.07355
P2	Recording5	case_6	Bottom left	536194018	141.0	993.0	161.jpg	161_right_eye.jpg	161_left_eye.jpg	45.01716	1045.081
P3	Recording6	case_1	Top left	100036576	167.0	135.0	162.jpg	162_right_eye.jpg	162_left_eye.jpg	224.73837	150.32156
P3	Recording6	case_1	Bottom left	101263044	125.0	954.0	163.jpg	163_right_eye.jpg	163_left_eye.jpg	232.15941	808.2487
P3	Recording6	case_1	Top right	102486074	1769.0	184.0	164.jpg	164_right_eye.jpg	164_left_eye.jpg	1594.7491	256.6418
P3	Recording6	case_1	Bottom center	103832523	956.0	932.0	165.jpg	165_right_eye.jpg	165_left_eye.jpg	963.372	857.00726
P3	Recording6	case_1	Top center	105062429	964.0	122.0	166.jpg	166_right_eye.jpg	166_left_eye.jpg	602.329	110.81503
P3	Recording6	case_1	Middle center	106262232	959.0	596.0	167.jpg	167_right_eye.jpg	167_left_eye.jpg	947.10345	600.1102
P3	Recording6	case_1	Middle right	107638557	1778.0	566.0	168.jpg	168_right_eye.jpg	168_left_eye.jpg	1762.0999	484.3655
P3	Recording6	case_1	Middle left	108815167	131.0	564.0	169.jpg	169_right_eye.jpg	169_left_eye.jpg	207.35883	442.20303
P3	Recording6	case_1	Bottom right	110101601	1785.0	919.0	170.jpg	170_right_eye.jpg	170_left_eye.jpg	1696.8284	868.2536
P3	Recording6	case_1	Top right	111374732	1771.0	186.0	171.jpg	171_right_eye.jpg	171_left_eye.jpg	1614.1322	359.8044
P3	Recording6	case_1	Top center	112687848	965.0	97.0	172.jpg	172_right_eye.jpg	172_left_eye.jpg	656.9483	177.70595
P3	Recording6	case_1	Middle left	114064166	121.0	574.0	173.jpg	173_right_eye.jpg	173_left_eye.jpg	187.66858	539.1199
P3	Recording6	case_1	Bottom center	115543950	950.0	926.0	174.jpg	174_right_eye.jpg	174_left_eye.jpg	836.31915	844.9966
P3	Recording6	case_1	Middle center	116737609			175.jpg	175_right_eye.jpg	175_left_eye.jpg	833.2563	409.02084
P3	Recording6	case_1	Bottom right	118383513	1790.0	900.0	176.jpg	176_right_eye.jpg	176_left_eye.jpg	1565.7666	693.4619
P3	Recording6	case_1	Top left	120649632	132.0	179.0	177.jpg	177_right_eye.jpg	177_left_eye.jpg	281.64508	131.33875
P3	Recording6	case_1	Middle right	121816282	1770.0	565.0	178.jpg	178_right_eye.jpg	178_left_eye.jpg	1703.0989	520.13824
P3	Recording6	case_1	Bottom left	123216048	102.0	931.0	179.jpg	179_right_eye.jpg	179_left_eye.jpg	246.43295	802.7095
P3	Recording6	case_1	Middle left	124412627	114.0	542.0	180.jpg	180_right_eye.jpg	180_left_eye.jpg	222.18697	423.58847
P3	Recording6	case_1	Bottom left	125719071	115.0	954.0	181.jpg	181_right_eye.jpg	181_left_eye.jpg	220.83159	783.3446
P3	Recording6	case_1	Bottom right	126968858	1776.0	919.0	182.jpg	182_right_eye.jpg	182_left_eye.jpg	1770.1454	782.91895
P3	Recording6	case_1	Bottom center	128135342	950.0	938.0	183.jpg	183_right_eye.jpg	183_left_eye.jpg	816.03265	814.90015
P3	Recording6	case_1	Middle center	129358457	954.0	596.0	184.jpg	184_right_eye.jpg	184_left_eye.jpg	949.01654	514.7186
P3	Recording6	case_1	Top right	130544942	1768.0	154.0	185.jpg	185_right_eye.jpg	185_left_eye.jpg	1591.5627	184.01352
P3	Recording6	case_1	Middle right	131751411	1763.0	559.0	186.jpg	186_right_eye.jpg	186_left_eye.jpg	1589.8547	514.3572
P3	Recording6	case_1	Top center	132991214	973.0	98.0	187.jpg	187_right_eye.jpg	187_left_eye.jpg	680.3691	207.00949
P3	Recording6	case_1	Top left	134241010	145.0	149.0	188.jpg	188_right_eye.jpg	188_left_eye.jpg	123.94998	214.70428
P3	Recording6	case_2	Bottom center	155969651			189.jpg	189_right_eye.jpg	189_left_eye.jpg	1050.7954	781.66907
P3	Recording6	case_2	Top center	157113916			190.jpg	190_right_eye.jpg	190_left_eye.jpg	794.0572	62.817867
P3	Recording6	case_2	Middle right	158177536			191.jpg	191_right_eye.jpg	191_left_eye.jpg	1737.3024	599.61523
P3	Recording6	case_2	Bottom left	159217576			192.jpg	192_right_eye.jpg	192_left_eye.jpg	113.75875	848.5459
P3	Recording6	case_2	Top left	160545750			193.jpg	193_right_eye.jpg	193_left_eye.jpg	187.58115	75.52386
P3	Recording6	case_2	Bottom right	161625625			194.jpg	194_right_eye.jpg	194_left_eye.jpg	1720.5026	919.17694
P3	Recording6	case_2	Middle center	162762013			195.jpg	195_right_eye.jpg	195_left_eye.jpg	990.5748	614.18506
P3	Recording6	case_2	Top right	163833840			196.jpg	196_right_eye.jpg	196_left_eye.jpg	1628.6696	228.60568
P3	Recording6	case_2	Middle left	164849555			197.jpg	197_right_eye.jpg	197_left_eye.jpg	216.20898	391.9994
P3	Recording6	case_2	Bottom right	166017590			198.jpg	198_right_eye.jpg	198_left_eye.jpg	1439.115	701.69543
P3	Recording6	case_2	Middle right	167233594			199.jpg	199_right_eye.jpg	199_left_eye.jpg	1708.2429	534.98425
P3	Recording6	case_2	Top right	168449596			200.jpg	200_right_eye.jpg	200_left_eye.jpg	1639.4923	306.75357
P3	Recording6	case_2	Top center	169737693			201.jpg	201_right_eye.jpg	201_left_eye.jpg	678.3844	59.768784
P3	Recording6	case_2	Bottom left	170977576			202.jpg	202_right_eye.jpg	202_left_eye.jpg	267.3343	767.3609
P3	Recording6	case_2	Middle left	172089872			203.jpg	203_right_eye.jpg	203_left_eye.jpg	248.15973	439.08743
P3	Recording6	case_2	Top left	173361783			204.jpg	204_right_eye.jpg	204_left_eye.jpg	141.02809	94.86489
P3	Recording6	case_2	Middle center	174553704			205.jpg	205_right_eye.jpg	205_left_eye.jpg	874.38184	422.383
